timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1783443779640,210,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetSpendAnalysisDataSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-74,text,true,,1357,1424,292,292,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetSpendAnalysisDataSS,210,0,0
1783443779850,118,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-74,text,true,,615,1441,293,293,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,118,0,0
1783443779968,299,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetCardDetailsSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-74,text,true,,1933,1414,296,296,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetCardDetailsSS,299,0,0
1783443780267,154,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetAccountSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-74,text,true,,2522,1375,298,298,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetAccountSummarySS,154,0,0
1783443780422,238,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-74,text,true,,833,1451,300,300,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,238,0,0
1783443780660,174,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-74,text,true,,833,1451,302,302,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,174,0,0
1783443780835,70,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetProcessingParametersSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-74,text,true,,1214,1350,303,303,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetProcessingParametersSS,70,0,0
1783443780906,141,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetAccountSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-74,text,true,,2522,1375,304,304,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetAccountSummarySS,141,0,0
1783443781047,123,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetAccountSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-74,text,true,,2522,1375,305,305,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetAccountSummarySS,123,0,0
1783443765176,16556,Enter User Name Password Click On Sign in Button,200,"Number of samples in transaction : 21, number of failing samples : 0",01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-48,,true,,450434,30433,311,311,null,0,11,0
1783443765176,1508,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/LoginSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-48,text,true,,3834,2275,161,161,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/LoginSS,1508,0,0
1783443766685,4173,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetSSDashBoardAllCards,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-48,text,true,,101824,1443,202,202,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetSSDashBoardAllCards,710,0,0
1783443770861,6275,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetSelfServiceThemeSetupSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-48,text,true,,208044,1370,265,265,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetSelfServiceThemeSetupSS,1520,0,0
1783443777137,133,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-48,text,true,,830,1451,266,266,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,133,0,0
1783443777270,126,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-48,text,true,,830,1451,268,268,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,126,0,0
1783443777396,116,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-48,text,true,,615,1441,269,269,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,116,0,0
1783443777512,155,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-48,text,true,,615,1441,270,270,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetTransactionSummarySS,155,0,0
1783443777667,96,/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetSpendAnalysisDataSS,200,OK,01_IOPERF_Credit_Mobile_App_Check_Card_Details----Done-ThreadStarter 1-48,text,true,,1295,1424,271,271,https://isccoremoney.corecard.in/miocreditperf/CoreCardServices/CoreCardServices.svc/api/GetSpendAnalysisDataSS,96,0,0
